date,region,population,google_ads_brand_impressions,google_ads_generic_impressions,display_impressions,facebook_impressions,google_ads_brand_cost,google_ads_generic_cost,facebook_cost,display_cost,conversions,GQV_brand,GQV_generic,revenue_per_conversion
2024-05-06,Norrbotten County,248620,13,0,0,0,2.33,0.0,0.0,0.0,0,5.1400668208686716e-05,4.1203803649447446,1000
2023-03-20,Norrbotten County,248620,30,0,0,267,30.4,0.0,23.29,0.0,0,0.00010280133641737343,3.9048573631457208,1000
2025-02-03,Norrbotten County,248620,14,25,0,6,1.61,699.8,0.32,0.0,0,5.1400668208686716e-05,3.3644821382677974,1000
2024-12-02,Norrbotten County,248620,15,74,0,661,1.0,210.94,80.55,0.0,0,0.00015420200462606013,3.1820611667951684,1000
2024-07-15,Norrbotten County,248620,9,35,0,0,2.02,172.63,0.0,0.0,0,5.1400668208686716e-05,4.5364173734258548,1000
2024-07-29,Norrbotten County,248620,9,48,0,0,0.47,145.53,0.0,0.0,0,0.00010280133641737343,3.9894628630172191,1000
2024-11-18,Norrbotten County,248620,7,119,0,0,0.03,318.63,0.0,0.0,0,0.00030840400925212025,3.1690053970701619,1000
2023-09-04,Norrbotten County,248620,43,0,236,0,18.99,0.0,0.0,15.96,0,0.00010280133641737343,4.2868157286044717,1000
2023-07-31,Norrbotten County,248620,21,0,4,0,3.91,0.0,0.0,0.14,0,5.1400668208686716e-05,5.3942431251606271,1000
2023-10-16,Norrbotten County,248620,24,0,0,0,2.24,0.0,0.0,0.0,0,0.00010280133641737343,3.9687483937291184,1000
2023-06-19,Norrbotten County,248620,12,0,0,0,0.21,0.0,0.0,0.0,0,0.0,4.2739655615523,1000
2024-06-10,Norrbotten County,248620,15,59,0,39,1.19,190.27,6.04,0.0,0,0.00020560267283474686,3.6520174762271909,1000
2024-12-16,Norrbotten County,248620,12,52,0,363,2.6,43.93,51.21,0.0,0,0.00010280133641737343,3.0213826779748136,1000
2024-06-24,Norrbotten County,248620,10,42,0,0,0.65,45.67,0.0,0.0,0,0.00015420200462606013,4.3592392701105114,1000
2025-02-10,Norrbotten County,248620,9,53,0,37,0.65,54.86,1.08,0.0,0,5.1400668208686716e-05,3.2378308918015932,1000
2024-11-04,Norrbotten County,248620,11,94,0,0,4.25,67.03,0.0,0.0,0,0.00077101002313030066,2.9435620663068618,1000
2023-03-06,Norrbotten County,248620,32,0,0,247,107.72,0.0,19.27,0.0,0,0.00015420200462606013,3.8663582626574144,1000
2023-12-18,Norrbotten County,248620,23,364,0,0,17.79,33.18,0.0,0.0,0,0.00010280133641737343,3.1645849396042149,1000
2024-01-08,Norrbotten County,248620,34,11,0,0,11.01,0.0,0.0,0.0,0,0.00077101002313030066,4.4695965047545618,1000
2024-01-15,Norrbotten County,248620,25,15,0,0,80.72,7.88,0.0,0.0,0,0.00015420200462606013,4.4551015163197123,1000
2023-08-28,Norrbotten County,248620,26,0,80,0,5.57,0.0,0.0,2.62,0,5.1400668208686716e-05,4.6102287329735283,1000
2023-06-26,Norrbotten County,248620,27,0,2,0,7.26,0.0,0.0,0.04,0,0.00010280133641737343,6.0057054741711644,1000
2023-08-07,Norrbotten County,248620,32,0,5,0,24.37,0.0,0.0,0.31,0,0.00015420200462606013,5.5439732716525318,1000
2023-10-23,Norrbotten County,248620,23,0,0,0,4.3,0.0,0.0,0.0,0,0.0,3.6481110254433307,1000
2024-09-23,Norrbotten County,248620,17,64,0,27,1.59,178.77,4.32,0.0,0,0.00015420200462606013,3.4061166795168338,1000
2025-02-17,Norrbotten County,248620,17,44,0,23,1.02,179.22,0.54,0.0,0,5.1400668208686716e-05,3.3464919043947572,1000
2024-05-13,Norrbotten County,248620,8,0,0,0,18.42,0.0,0.0,0.0,0,0.00015420200462606013,4.12994088923156,1000
2024-08-26,Norrbotten County,248620,13,55,0,23,2.04,396.85,6.48,0.0,0,0.00010280133641737343,3.7229503983551786,1000
2024-02-26,Norrbotten County,248620,20,4,0,0,4.38,0.0,0.0,0.0,0,0.00030840400925212025,3.7201747622719097,1000
2024-04-01,Norrbotten County,248620,21,0,0,0,39.01,0.0,0.0,0.0,0,0.00010280133641737343,3.6684656900539707,1000
2024-10-21,Norrbotten County,248620,14,117,0,664,1.06,38.96,71.68,0.0,0,0.00046260601387818041,3.0808532510922642,1000
2023-08-21,Norrbotten County,248620,25,0,0,0,7.06,0.0,0.0,0.0,0,0.00015420200462606013,4.3986121819583657,1000
2024-03-25,Norrbotten County,248620,21,0,0,0,4.26,0.0,0.0,0.0,0,0.000359804677460807,3.5102544333076331,1000
2024-12-30,Norrbotten County,248620,7,29,0,0,0.24,104.51,0.0,0.0,0,5.1400668208686716e-05,3.5828321768182985,1000
2024-07-22,Norrbotten County,248620,9,36,0,0,0.59,262.74,0.0,0.0,0,0.00010280133641737343,4.21171935235158,1000
2025-01-13,Norrbotten County,248620,14,26,0,0,3.3,0.0,0.0,0.0,0,5.1400668208686716e-05,3.2507838601901824,1000
2025-01-06,Norrbotten County,248620,12,61,0,0,1.34,98.82,0.0,0.0,0,0.00025700334104343357,3.3690053970701621,1000
2024-02-12,Norrbotten County,248620,12,24,0,0,10.7,0.0,0.0,0.0,0,0.0,3.6901567720380366,1000
2023-04-17,Norrbotten County,248620,26,0,0,256,11.24,0.0,20.3,0.0,0,0.00010280133641737343,4.2124389617065026,1000
2024-09-02,Norrbotten County,248620,14,67,0,160,1.94,60.49,13.3,0.0,0,0.0,3.5902338730403494,1000
2024-04-15,Norrbotten County,248620,11,0,0,0,3.54,0.0,0.0,0.0,0,0.0,3.8351580570547417,1000
2023-11-13,Norrbotten County,248620,16,74,0,0,11.46,32.2,0.0,0.0,0,5.1400668208686716e-05,3.9758416859419174,1000
2023-12-04,Norrbotten County,248620,22,86,0,0,5.12,52.31,0.0,0.0,0,0.00010280133641737343,4.0755589822667693,1000
2023-07-17,Norrbotten County,248620,23,0,4,0,11.62,0.0,0.0,0.19,0,0.00015420200462606013,6.09118478540221,1000
2023-05-22,Norrbotten County,248620,17,0,0,105,7.63,0.0,8.29,0.0,0,0.00010280133641737343,4.4586481624261118,1000
2024-04-22,Norrbotten County,248620,9,0,0,0,10.84,0.0,0.0,0.0,0,5.1400668208686716e-05,4.0032382420971473,1000
2023-06-12,Norrbotten County,248620,23,0,0,28,6.96,0.0,1.76,0.0,0,0.00061680801850424051,4.17496787458237,1000
2024-06-17,Norrbotten County,248620,6,56,0,103,0.49,7.85,14.5,0.0,0,0.00015420200462606013,3.6976612695965048,1000
2024-09-16,Norrbotten County,248620,17,84,0,100,2.27,33.11,16.63,0.0,0,0.00010280133641737343,3.5904908763813927,1000
2025-01-20,Norrbotten County,248620,10,53,0,6,4.72,882.68,0.15,0.0,0,0.00010280133641737343,3.2259573374453869,1000
2023-05-08,Norrbotten County,248620,18,0,0,149,85.03,0.0,12.06,0.0,0,0.00015420200462606013,4.0996658956566439,1000
2023-11-27,Orebro County,308375,63,292,0,0,109.27,222.18,0.0,0.0,0,5.1400668208686716e-05,3.9650475456180931,1000
2024-12-30,Orebro County,308375,25,65,0,0,2.33,33.63,0.0,0.0,0,0.00051400668208686714,3.5479311231046005,1000
2023-06-05,Orebro County,308375,62,194,0,268,62.92,93.61,26.89,0.0,0,0.00030840400925212025,4.087843741968646,1000
2024-12-02,Orebro County,308375,25,150,0,603,1.63,98.57,63.26,0.0,0,0.00025700334104343357,3.4900539707016192,1000
2024-03-25,Orebro County,308375,43,244,0,0,5.61,676.07,0.0,0.0,0,0.00030840400925212025,3.6617836031868416,1000
2023-10-09,Orebro County,308375,71,202,0,0,63.3,143.54,0.0,0.0,0,0.00025700334104343357,4.2533024929324084,1000
2024-09-23,Orebro County,308375,48,94,0,32,11.04,200.77,5.19,0.0,0,0.00020560267283474686,3.3906450783860191,1000
2024-01-08,Orebro County,308375,75,227,0,0,29.92,374.66,0.0,0.0,0,0.00015420200462606013,4.3117964533538933,1000
2023-07-17,Orebro County,308375,70,235,6,0,45.82,154.23,0.0,0.22,0,0.0010280133641737343,4.2865587252634283,1000
2024-07-01,Orebro County,308375,24,90,0,0,2.63,466.17,0.0,0.0,0,0.000359804677460807,4.1262914417887435,1000
2023-05-01,Orebro County,308375,88,316,0,369,85.62,213.8,30.33,0.0,0,0.000359804677460807,4.377897712670265,1000
2024-03-18,Orebro County,308375,30,261,0,0,91.6,987.21,0.0,0.0,0,0.00010280133641737343,3.6335646363402723,1000
2024-08-05,Orebro County,308375,28,68,0,0,49.64,1058.89,0.0,0.0,0,0.00010280133641737343,3.6407093292212798,1000
2024-07-15,Orebro County,308375,17,48,0,0,36.84,42.58,0.0,0.0,0,0.00015420200462606013,3.5368285787715239,1000
2024-05-20,Orebro County,308375,16,120,0,0,12.46,961.05,0.0,0.0,0,0.00020560267283474686,4.0499614494988432,1000
2023-08-21,Orebro County,308375,49,251,2,0,64.84,326.52,0.0,0.11,0,0.00041120534566949372,4.1654587509637624,1000
2024-06-10,Orebro County,308375,24,65,0,50,8.49,425.45,5.3,0.0,0,0.00046260601387818041,4.051709072217939,1000
2024-10-14,Orebro County,308375,31,93,0,49,4.92,94.36,5.12,0.0,0,0.00051400668208686714,3.2419943459264968,1000
2025-02-17,Orebro County,308375,42,68,0,26,42.1,280.95,0.5,0.0,0,0.00041120534566949372,3.267951683371884,1000
2024-07-29,Orebro County,308375,23,62,0,0,40.02,109.58,0.0,0.0,0,0.0,3.2514520688768953,1000
2023-07-24,Orebro County,308375,66,282,5,0,71.96,324.3,0.0,0.27,0,0.00025700334104343357,4.2060652788486248,1000
2024-12-23,Orebro County,308375,17,66,0,840,2.56,338.93,85.05,0.0,0,0.00025700334104343357,3.2624004112053457,1000
2024-10-21,Orebro County,308375,27,98,0,671,8.53,108.96,65.74,0.0,0,0.0006682086867129273,3.320277563608327,1000
2024-06-03,Orebro County,308375,23,73,0,0,17.54,228.08,0.0,0.0,0,0.00046260601387818041,4.0719095348239529,1000
2024-09-09,Orebro County,308375,22,70,0,152,10.21,245.45,20.55,0.0,0,0.00056540735029555382,3.39491133384734,1000
